Median Household Income,Total Population,Labor Force Participation,Rent Growth Rate,Income Growth Rate
20250.0,947.0,29.0,-0.06878306878306883,-0.01488616462346759
35585.0,2063.0,42.0,-0.00302571860816947,0.08709598582513589
28750.0,241.0,4.0,0.1669595782073814,-0.19766695504144227
50757.0,3506.0,9.0,0.043301759133964834,0.2191823597232898
30446.0,1002.0,6.0,-0.12801204819277112,0.11027642039238561
27500.0,180.0,3.0,0.0,-0.3015873015873016
35369.0,5603.0,357.0,0.01740294511378848,-0.008188216819494665
50859.0,1158.0,13.0,0.016560509554140124,-0.08020761746301586
25366.0,12600.0,531.0,0.06209150326797386,0.02414405684754528
56364.0,11501.0,425.0,-0.013227513227513255,-0.09971728400977531
31173.0,3549.0,256.0,0.15863453815261042,0.15297555202130408
39375.0,299.0,15.0,0.019575856443719397,0.016129032258064502
22935.0,1190.0,31.0,,
26563.0,184.0,13.0,-0.020270270270270285,-0.034072727272727255
24500.0,513.0,11.0,-0.07484407484407485,0.28757620348959434
67813.0,1637.0,33.0,-0.04223968565815328,0.12908757908757917
66875.0,3133.0,173.0,0.04074402125775012,-0.09423970311378382
46250.0,89.0,2.0,0.0,0.0614858506804985
113609.0,83397.0,2712.0,0.0722627737226278,0.060022766290960705
39375.0,9.0,0.0,0.0,-0.07352941176470584
25199.0,3827.0,487.0,0.08193668528864051,0.13203054806828396
30208.0,913.0,47.0,0.051364365971107606,0.10566963141905483
42783.0,15543.0,960.0,-0.018849206349206393,0.029575973432160563
84375.0,227.0,8.0,0.33410672853828305,0.46739130434782616
34949.0,10473.0,625.0,0.017331022530329365,-0.022569638662042757
48750.0,85.0,8.0,0.0,0.625
30333.0,382.0,24.0,,
54943.0,7519.0,211.0,-0.009345794392523366,-0.058114617797816015
57778.0,686.0,11.0,,
22039.0,1054.0,86.0,-0.022959183673469385,-0.13419760361422117
16726.0,1316.0,113.0,,
25772.0,2068.0,85.0,0.015679442508710784,-0.0509298471736328
44031.0,2829.0,88.0,,
45000.0,427.0,20.0,0.01744186046511631,-0.013698630136986356
107031.0,1037.0,0.0,0.0,0.17115845451859624
47542.0,1112.0,102.0,0.18193069306930698,0.20567052140393582
27731.0,4875.0,227.0,0.008896797153024938,-0.14047050801227412
39375.0,784.0,29.0,0.0,0.0
77878.0,15900.0,464.0,-0.006301197227473243,0.08114336484666751
35621.0,16133.0,383.0,0.02689873417721511,0.013111490329920317
27366.0,674.0,4.0,0.13143631436314362,0.0868580960324079
70997.0,30362.0,493.0,0.01576044129235621,0.02527185293225709
31955.0,3410.0,215.0,0.21367521367521358,0.004305738889936572
37500.0,471.0,31.0,-0.001388888888888884,-0.12748086274692294
31629.0,2587.0,63.0,-0.0813648293963255,-0.1519693272917393
36750.0,203.0,0.0,0.0,-0.10166467036593418
49219.0,16595.0,815.0,0.027380952380952284,0.1335298588240712
59125.0,1574.0,64.0,,
31701.0,56036.0,2718.0,0.006830601092896238,0.016090259303182863
47721.0,4575.0,188.0,,
29569.0,381.0,0.0,0.0,-0.34577516206827885
32740.0,541.0,38.0,0.04104477611940305,0.007384615384615323
35781.0,288.0,8.0,-0.012195121951219523,0.015063829787234084
40147.0,975.0,33.0,-0.030916844349680117,-0.01176615384615387
42250.0,151.0,6.0,,
30192.0,554.0,17.0,0.03976143141153088,0.2939613423048901
28854.0,355.0,9.0,-0.08284883720930236,0.06452684006640852
48237.0,31111.0,2072.0,-0.015473887814313358,0.03793518956836084
58333.0,266.0,8.0,0.03248587570621475,0.6203611111111111
54327.0,75.0,0.0,-0.017316017316017285,0.010734883720930233
46486.0,1737.0,65.0,0.02346041055718473,0.07534294108121853
35833.0,205.0,4.0,0.14717741935483875,-0.1194524991399224
30357.0,259.0,16.0,-0.02564102564102566,0.14554716981132065
37583.0,3076.0,135.0,-0.02030456852791873,0.03068780166739793
55242.0,1816.0,51.0,-0.18062200956937802,0.04291189186127742
46796.0,4270.0,163.0,0.01194743130227005,0.019676203342557708
37679.0,7815.0,301.0,0.030193236714975757,0.04978825364983841
27188.0,471.0,22.0,-0.004048582995951455,-0.10859016393442622
29643.0,496.0,57.0,0.01764705882352935,0.05867857142857136
56542.0,10611.0,109.0,0.11155378486055767,-0.073188322651499
30692.0,22875.0,919.0,0.020725388601036343,0.0013049719431033058
27500.0,1066.0,47.0,0.12459546925566345,-0.12698412698412698
36042.0,1190.0,52.0,0.012084592145015005,-0.0407728748602757
58269.0,332.0,9.0,0.13092783505154637,0.11877196014054481
31667.0,593.0,12.0,0.5147540983606558,-0.16788417069581674
46563.0,3346.0,177.0,-0.05977011494252871,0.35456
55783.0,25378.0,1496.0,,
37337.0,196635.0,10171.0,0.0063856960408683605,-0.006809778416194456
48214.0,1109.0,20.0,0.0027472527472527375,0.3969403720229472
30833.0,364.0,12.0,-0.06231003039513683,0.24366731203614078
32173.0,4077.0,214.0,0.048484848484848575,-0.007526914890335301
35761.0,16940.0,270.0,0.005847953216374213,-0.0035943159654500123
33007.0,6399.0,252.0,0.01199563794983649,0.08529247361325742
21033.0,484.0,37.0,0.09633027522935778,0.008051761322789286
32500.0,1029.0,33.0,0.030985915492957705,0.05348460291734192
22500.0,722.0,58.0,-0.022271714922049046,-0.03817381267900655
20781.0,342.0,12.0,-0.3781818181818182,-0.15286779992662347
26701.0,766.0,38.0,0.006993006993007089,0.033600433553981235
39375.0,195.0,0.0,0.0,0.4318181818181819
46250.0,145.0,4.0,0.1891580161476356,-0.09756097560975607
15625.0,417.0,20.0,-0.11267605633802813,0.05261385071409319
46417.0,2167.0,43.0,0.1388589881593112,-0.14918615734291374
26250.0,149.0,4.0,-0.08695652173913049,0.05962136196665724
29781.0,15243.0,601.0,0.06751592356687897,0.014270145085484742
39113.0,2026.0,138.0,,
43450.0,3073.0,199.0,,
42857.0,1249.0,43.0,0.20249221183800614,-0.15195108437549465
35250.0,1475.0,81.0,0.02529761904761907,0.42949835759763166
32500.0,320.0,14.0,0.01081730769230771,-0.21212121212121215
46389.0,424.0,21.0,-0.07857142857142863,0.030866666666666598
62941.0,2916.0,29.0,0.07396733909702213,0.2281170731707316
27104.0,4895.0,236.0,0.054655870445344146,0.038387862999003985
27317.0,16714.0,1346.0,0.07692307692307687,-0.051427182443225194
63750.0,16323.0,607.0,0.020222446916076775,0.027612553798539663
32083.0,593.0,10.0,0.022312373225152227,0.1387853618712953
43563.0,2481.0,141.0,0.0632022471910112,-0.020593988174194555
29732.0,2472.0,201.0,,
40000.0,226.0,11.0,0.0,0.1428571428571428
36186.0,2895.0,108.0,0.04403409090909083,0.0602402578376795
61250.0,165.0,6.0,0.0,0.042553191489361764
57672.0,18288.0,760.0,0.05066445182724255,0.03551549538549925
49545.0,1635.0,63.0,-0.005471956224350261,-0.16202959830866803
26250.0,703.0,23.0,-0.018633540372670843,0.036197844708482974
28750.0,325.0,3.0,-0.15485278080697928,-0.33333333333333337
34989.0,3599.0,114.0,-0.09756097560975607,0.1111499253707644
32840.0,13264.0,731.0,,
30441.0,10286.0,514.0,0.06021897810218979,-0.07415067368228956
39375.0,164.0,0.0,-0.004570383912248621,-0.5153846153846153
29886.0,3082.0,89.0,-0.18635607321131442,0.1050471436494731
35507.0,4950.0,163.0,0.007849293563579218,0.018969178671870424
45169.0,3811.0,214.0,0.01747930082796678,-0.15902066654254332
31033.0,4492.0,55.0,0.07461024498886415,0.056442553191489386
30341.0,814.0,33.0,0.0420560747663552,-0.2148993427521606
37227.0,1750.0,51.0,0.17693836978131205,-0.0996662474605785
39375.0,242.0,0.0,0.0,0.0
41841.0,13697.0,563.0,0.006787330316742057,-0.045379876796714624
24869.0,12492.0,455.0,-0.08204334365325072,-0.022022100751110885
25114.0,2612.0,139.0,-0.1117734724292101,-0.08446647953045827
140156.0,116.0,2.0,0.0,0.26456921674952416
29125.0,596.0,47.0,0.042065009560229516,0.023294216850537453
72820.0,13810.0,329.0,-0.010067114093959773,0.042310775220428365
21793.0,1071.0,49.0,-0.20488721804511278,-0.16979047619047616
37250.0,2343.0,191.0,-0.06282722513089001,-0.009413892139134128
36719.0,419.0,0.0,0.0,-0.1797569584059331
32095.0,15762.0,394.0,-0.001697792869269965,-0.0010271414342629681
47125.0,5856.0,232.0,0.07333333333333325,0.027897744623304188
135579.0,2324.0,37.0,0.029654036243822013,-0.06898540772532191
18864.0,208.0,16.0,0.006568144499178974,0.2256513546878045
58750.0,525.0,19.0,0.005069708491761693,0.3177668618083125
26094.0,572.0,32.0,-0.032015065913371,-0.1686896683551563
46136.0,624.0,3.0,0.06882022471910121,0.015831076469163596
56389.0,4761.0,0.0,-0.041621029572836754,0.20765425224337686
26875.0,330.0,2.0,-0.09352517985611508,0.21282548851482463
29250.0,116.0,0.0,0.0,-0.004255319148936176
47292.0,872.0,0.0,0.06557377049180335,0.24044590163934432
74058.0,1403.0,2.0,-0.030583214793741154,0.14855999627785788
76019.0,15329.0,364.0,0.017793594306049876,0.030626355748373024
25238.0,1209.0,53.0,0.1443736730360934,-0.005124566382844531
28452.0,3114.0,150.0,-0.028735632183908066,0.05159668835008868
78750.0,69.0,3.0,0.0,0.336353917426055
47228.0,765.0,31.0,0.04150453955901434,0.00892971587267688
24618.0,6510.0,390.0,,
25114.0,728.0,22.0,0.6295503211991436,-0.09053378720938654
48750.0,133.0,0.0,0.18947368421052624,-0.007269839330441674
40850.0,16289.0,771.0,0.03873239436619724,0.09134140151211567
39073.0,2389.0,39.0,0.055240793201133176,0.022639237855946348
31250.0,1229.0,64.0,0.08650065530799478,0.050738038398170815
46904.0,2350.0,157.0,0.08069164265129691,0.05699154929577466
46354.0,671.0,29.0,0.2959770114942528,0.39063390633906336
77215.0,12635.0,150.0,0.06381118881118875,0.02337941180368719
32417.0,4054.0,302.0,0.01538461538461533,0.17469923177272073
33333.0,1079.0,9.0,,
30387.0,13781.0,1154.0,,
62500.0,197.0,3.0,0.0706126687435098,0.020408163265306145
36671.0,155023.0,8604.0,,
25398.0,2205.0,109.0,-0.04633204633204635,0.11253230540102499
55982.0,296.0,5.0,0.0393912264995524,0.11963999999999997
53769.0,18385.0,742.0,0.052534562211981495,0.04680229728414287
48200.0,863.0,21.0,0.1765375854214124,0.13411764705882345
24375.0,277.0,2.0,0.06040268456375841,-0.38095238095238093
34219.0,967.0,60.0,0.09845288326300983,0.08377145752834614
33596.0,116353.0,4272.0,,
39792.0,4091.0,146.0,0.008495145631068013,0.03560274828232357
31250.0,403.0,61.0,0.07130434782608686,0.8392089929962923
72813.0,369.0,5.0,0.02124999999999999,0.6068898550084965
57623.0,3514.0,252.0,,
24051.0,4605.0,128.0,-0.0052631578947368585,0.07968216915065551
28538.0,500.0,77.0,0.4676409185803758,0.1911678771182903
39548.0,6002.0,254.0,-0.04854368932038833,0.019804022692109235
31136.0,1647.0,135.0,-0.0652631578947368,-0.13729184561247953
23125.0,2943.0,21.0,-0.05758157389635321,-0.17454934856326965
19901.0,3731.0,279.0,-0.02050473186119872,-0.17947555042467223
39844.0,670.0,8.0,0.15780998389694045,0.01999334408519582
95941.0,12509.0,464.0,0.0618301731244848,0.056304843273475846
32056.0,947.0,8.0,0.07979626485568758,-0.14517333333333338
20259.0,699.0,29.0,0.06505576208178443,-0.041946467417005584
82485.0,3889.0,143.0,0.12989493791786066,0.017906064121232967
54219.0,600.0,14.0,0.002317497103128563,0.008725581395348847
49899.0,12754.0,611.0,0.010563380281690238,0.06637744961853276
40048.0,2547.0,177.0,0.09243697478991586,0.023905095492547268
63756.0,32669.0,979.0,-0.0008912655971479166,0.03136677612954375
89710.0,6790.0,147.0,0.17784256559766765,0.09401104864574816
145625.0,1793.0,30.0,-0.011343804537521818,0.132290395067296
22188.0,312.0,13.0,-0.32090761750405183,-0.2803814095287517
47452.0,3073.0,166.0,0.0714285714285714,-0.04220576065236259
31406.0,1149.0,51.0,-0.1090342679127726,-0.021101517937848757
43239.0,198647.0,8742.0,0.014218009478673022,0.013548674433323082
48611.0,613.0,25.0,0.5248380129589634,0.48621132444661863
43843.0,9547.0,272.0,0.05368098159509205,0.10516498197675883
69529.0,33700.0,1001.0,0.043147208121827374,0.10967649265046209
30833.0,993.0,17.0,0.0031347962382444194,0.02598828696925337
32010.0,119684.0,5407.0,-0.0012658227848101333,-0.038536629321478943
40989.0,4375.0,38.0,0.07240437158469937,0.15127938656854756
63438.0,6886.0,184.0,0.14475025484199788,0.2647381327378935
22138.0,2617.0,248.0,-0.19971056439942114,-0.23934854315557996
29231.0,2038.0,50.0,0.12159709618874781,-0.007436332767402409
39375.0,192.0,0.0,0.0,2.2941520957081902
68795.0,3337.0,255.0,,
37917.0,254.0,10.0,,
69743.0,4003.0,206.0,-0.050369375419744844,0.013780071226106472
21650.0,3352.0,118.0,,
26101.0,6489.0,270.0,-0.04065040650406504,-0.029377858763154907
39375.0,748.0,0.0,-0.5226586102719033,0.0
35205.0,3448.0,44.0,0.1590594744121716,-0.05342546784254676
39375.0,0.0,0.0,,
43750.0,9143.0,388.0,0.008955223880596996,0.037861175689139825
52188.0,1269.0,23.0,0.07508532423208192,0.18490600308782135
35417.0,1198.0,61.0,0.0887978142076502,-0.12240751294694852
32750.0,3125.0,91.0,0.06413612565445037,0.15589595171707904
51645.0,1588.0,91.0,-0.014476614699331813,-0.014333155202687187
53096.0,9820.0,247.0,0.1869158878504673,0.07667038426442252
39375.0,76.0,0.0,0.0,0.0
60521.0,923.0,43.0,-0.03221649484536082,0.3037699267557088
36042.0,33.0,0.0,,
26667.0,934.0,54.0,0.02417582417582409,-0.12438023313084878
86563.0,1731.0,17.0,0.04832347140039439,0.1493766016491176
12109.0,163.0,0.0,,
39375.0,122.0,4.0,0.08424908424908417,0.0
39375.0,1263.0,85.0,-0.07971014492753625,-0.15585807696430487
21800.0,625.0,11.0,0.06485671191553544,-0.04699453551912569
23484.0,4077.0,177.0,0.08495575221238938,0.038655462184874034
34044.0,579.0,16.0,0.14820359281437123,0.06238102668122947
36444.0,5924.0,496.0,0.0731399747793191,-0.1429176171773947
58182.0,2290.0,41.0,-0.035670356703567,-0.044708972990723295
33542.0,276.0,0.0,0.05629629629629629,0.29316061377130076
25278.0,130.0,3.0,0.02196193265007329,-0.003115510509918318
24500.0,2033.0,73.0,0.022267206477732726,-0.035357114733443606
67628.0,4709.0,0.0,0.0669693530079456,0.15417960883366888
63103.0,1435.0,52.0,,
24173.0,14221.0,587.0,0.041935483870967794,-0.021177518626498193
31875.0,78.0,6.0,-0.03157894736842104,-0.33478723626270424
24500.0,3062.0,37.0,-0.18220338983050843,-0.05543989513455161
27557.0,143.0,0.0,0.0,-0.3001396825396826
33895.0,4343.0,176.0,0.06230529595015577,0.014243394476196158
53466.0,3234.0,46.0,-0.044417767106842754,-0.10475201768192621
52000.0,182.0,2.0,0.15824175824175835,0.15555555555555545
31552.0,22725.0,779.0,0.05163727959697728,-0.0011080507803843398
29716.0,497.0,0.0,0.08256880733944949,-0.16982818829445456
25729.0,94.0,1.0,0.1451219512195121,0.01643424327420684
34249.0,30442.0,1494.0,-0.006337135614702172,0.022327691710695152
73125.0,767.0,37.0,0.23518518518518516,0.015625
25000.0,465.0,29.0,0.34615384615384626,-0.09090909090909094
81250.0,177.0,3.0,,
25783.0,2728.0,126.0,0.028006589785831926,-0.0336206896551724
55227.0,2637.0,76.0,0.0,0.012150868704640327
24135.0,65.0,0.0,0.0,-0.411943862384874
