City,MSE
"Demorest city, Georgia",53739145.666666664
"Andersonville city, Georgia",499757228.0
"Butler city, Georgia",124419027.66666667
"White city, Georgia",34002625.666666664
"Crawfordville city, Georgia",28236861.333333332
"Manassas city, Georgia",5580792.0
"Rossville city, Georgia",50738083.333333336
"Sumner town, Georgia",80669021.66666667
"Abbeville city, Georgia",90658846.33333333
"Pineview town, Georgia",54710819.333333336
"Lakeview Estates CDP, Georgia",34492674.666666664
"Fairburn city, Georgia",140347533.66666666
"Hamilton city, Georgia",167899041.0
"Waverly Hall town, Georgia",144718056.33333334
"Ellaville city, Georgia",189323253.66666666
"Plains city, Georgia",96671551.33333333
"Manchester city, Georgia",132918707.0
"Moreland town, Georgia",208167742.0
"Avalon town, Georgia",911089195.3333334
"Soperton city, Georgia",45047042.666666664
"Sycamore city, Georgia",76334200.0
"Conley CDP, Georgia",101697903.0
"Oakwood city, Georgia",22545574.666666668
"Waco city, Georgia",143541329.33333334
"Sunny Side city, Georgia",6599715737.666667
"Cartersville city, Georgia",72862980.33333333
"Emerson city, Georgia",106794721.66666667
"Taylorsville town, Georgia",453727855.3333333
"Norcross city, Georgia",69782179.66666667
"Nicholls city, Georgia",57735068.333333336
"Dearing town, Georgia",67518324.66666667
"Ideal city, Georgia",66411563.666666664
"Jasper city, Georgia",420870140.6666667
"Fort Gaines city, Georgia",54958091.0
"Gillsville city, Georgia",172125544.33333334
"Lyerly town, Georgia",233386073.66666666
"Trion town, Georgia",12130688.666666666
"Robins AFB CDP, Georgia",0.0
"Register town, Georgia",295251726.0
"Statesboro city, Georgia",10208418.666666666
"Scotland city, Georgia",290409403.6666667
"Lakeview CDP, Georgia",75478391.33333333
"Temple city, Georgia",186249204.66666666
"Fargo city, Georgia",106186171.0
"Springfield city, Georgia",56165940.666666664
"Canton city, Georgia",82038346.0
"Suwanee city, Georgia",239512629.66666666
"Hogansville city, Georgia",34091175.0
"Ashburn city, Georgia",16268689.666666666
"Lilburn city, Georgia",29275560.666666668
"Mountain Park CDP, Georgia",63589868.333333336
"Pearson city, Georgia",29172651.333333332
"Auburn city, Georgia",87363192.33333333
"Winder city, Georgia",136897678.0
"Fitzgerald city, Georgia",19201972.333333332
"Bowdon city, Georgia",13875436.333333334
"Savannah city, Georgia",61909791.0
"Haralson town, Georgia",11491484.333333334
"Ochlocknee town, Georgia",23081671.0
"Ty Ty city, Georgia",5186607.0
"Danville town, Georgia",59850035.0
"Oconee city, Georgia",1025033388.6666666
"Dacula city, Georgia",471821501.3333333
"Glennville city, Georgia",231283967.0
"Lumber City city, Georgia",115402694.0
"McRae city, Georgia",9351364.0
"Helen city, Georgia",10689933857.666666
"Parrott town, Georgia",266612588.0
"Vidalia city, Georgia",18769361.0
"Screven city, Georgia",56845788.666666664
"Warwick city, Georgia",103368809.66666667
"Irondale CDP, Georgia",99926349.66666667
"Jonesboro city, Georgia",76111137.66666667
"Calhoun city, Georgia",68263361.66666667
"Gainesville city, Georgia",109326508.66666667
"College Park city, Georgia",80681593.0
"Experiment CDP, Georgia",587427498.0
"Adairsville city, Georgia",159821340.66666666
"Toccoa city, Georgia",49500147.0
"Thomasville city, Georgia",130551565.66666667
"Tifton city, Georgia",205975475.0
"Whigham city, Georgia",52801972.333333336
"Aldora town, Georgia",0.0
"Cadwell town, Georgia",6831453.666666667
"Marshallville city, Georgia",69394802.0
"Buena Vista city, Georgia",624858829.6666666
"Madison city, Georgia",322159208.3333333
"Lake City city, Georgia",22285285.666666668
"Fairmount city, Georgia",107106308.66666667
"Plainville city, Georgia",441710793.6666667
"Union City city, Georgia",291259527.0
"Columbus city, Georgia",16835309.666666668
"Hardwick CDP, Georgia",168781847.0
"Boykin CDP, Georgia",365166617.6666667
"Cedar Springs CDP, Georgia",816840133.3333334
"Coleman CDP, Georgia",35432033.333333336
"Epworth CDP, Georgia",1104696363.0
"Calvary CDP, Georgia",3883827768.3333335
"Crooked Creek CDP, Georgia",3644426647.0
"Eagle Grove CDP, Georgia",946963333.3333334
"Canoochee CDP, Georgia",694535568.6666666
"Cherry Log CDP, Georgia",6054881.333333333
"Dewy Rose CDP, Georgia",0.0
"Empire CDP, Georgia",114660177.33333333
"Milan city, Georgia",22684796.666666668
"Funston city, Georgia",153201880.66666666
"Garfield city, Georgia",138965833.0
"Good Hope city, Georgia",694326175.3333334
"Morganton city, Georgia",205842720.66666666
"Midville city, Georgia",18119288.333333332
"Pulaski town, Georgia",335380909.6666667
"Gresham Park CDP, Georgia",409713355.0
"North Druid Hills CDP, Georgia",209867987.33333334
"Pinehurst city, Georgia",62487744.333333336
"Jakin city, Georgia",1045489942.0
"Elberton city, Georgia",2377987.0
"Martinez CDP, Georgia",165595824.66666666
"Fair Oaks CDP, Georgia",42296028.333333336
"Powder Springs city, Georgia",41127253.666666664
"Brooks town, Georgia",1198522938.6666667
"Doerun city, Georgia",11197889.666666666
"Sparta city, Georgia",200365948.0
"Blackshear city, Georgia",60890479.0
"Patterson city, Georgia",30015289.666666668
"Eatonton city, Georgia",12106455.333333334
"Kings Bay Base CDP, Georgia",0.0
"Bloomingdale city, Georgia",98732627.0
"Garden City city, Georgia",49308393.666666664
"Thunderbolt town, Georgia",586399371.0
"Tybee Island city, Georgia",102458403.66666667
"Argyle town, Georgia",231998198.33333334
"Trenton city, Georgia",14026577.666666666
"Unadilla city, Georgia",25773214.0
"Blakely city, Georgia",59905955.666666664
"Evans CDP, Georgia",6344424.666666667
"Ball Ground city, Georgia",75012840.66666667
"Woodstock city, Georgia",432424850.6666667
"Kennesaw city, Georgia",187694837.66666666
"Rincon town, Georgia",4284242.5
"Tarrytown town, Georgia",11408023633.666666
"Whitesburg city, Georgia",55551430.333333336
"Williamson city, Georgia",552538983.3333334
"Sale City city, Georgia",62627603.0
"Sandy Springs city, Georgia",75899642.0
"Sardis city, Georgia",29405188.666666668
"Barwick city, Georgia",43277130.0
"Georgetown-Quitman County unified government, Georgia",39302220.333333336
"Augusta-Richmond County consolidated government (balance), Georgia",3041604.6666666665
"Milton city, Georgia",785802463.3333334
"Athens-Clarke County unified government (balance), Georgia",47791248.666666664
"Johns Creek city, Georgia",97660662.66666667
"Russell CDP, Georgia",68459186.66666667
"Cusseta-Chattahoochee County unified government, Georgia",77298316.33333333
"Webster County unified government, Georgia",14323117.666666666
"Chattahoochee Hills city, Georgia",1414559238.6666667
"Arabi town, Georgia",181979786.0
"Cordele city, Georgia",11469861.666666666
"Lake Park city, Georgia",218872392.33333334
"Lincolnton city, Georgia",178118650.0
"Walthourville city, Georgia",81684944.33333333
"Hahira city, Georgia",32413091.333333332
