OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Total housing units, 2019","# Total housing units, 2019 (MOE)","# Occupied housing units, 2019","# Occupied housing units, 2019 (MOE)","% Occupied housing units, 2019","% Occupied housing units, 2019 (MOE)","# Vacant housing units, 2019","# Vacant housing units, 2019 (MOE)","% Vacant housing units, 2019","% Vacant housing units, 2019 (MOE)","Owner vacancy rate, 2019","Owner vacancy rate, 2019 (MOE)","Renter vacancy rate, 2019","Renter vacancy rate, 2019 (MOE)","# 1 unit, detached housing units, 2019","# 1 unit, detached housing units, 2019 (MOE)","% 1 unit, detached housing units, 2019","% 1 unit, detached housing units, 2019 (MOE)","# 1 unit, attached housing units, 2019","# 1 unit, attached housing units, 2019 (MOE)","% 1 unit, attached housing units, 2019","% 1 unit, attached housing units, 2019 (MOE)","# Units in 2 unit structures, 2019","# Units in 2 unit structures, 2019 (MOE)","% Units in 2 unit structures, 2019","% Units in 2 unit structures, 2019 (MOE)","# Units in 3-4 unit structures, 2019","# Units in 3-4 unit structures, 2019 (MOE)","% Units in 3-4 unit structures, 2019","% Units in 3-4 unit structures, 2019 (MOE)","# Units in 5-9 unit structures, 2019","# Units in 5-9 unit structures, 2019 (MOE)","% Units in 5-9 unit structures, 2019","% Units in 5-9 unit structures, 2019 (MOE)","# Units in 10-19 unit structures, 2019","# Units in 10-19 unit structures, 2019 (MOE)","% Units in 10-19 unit structures, 2019","% Units in 10-19 unit structures, 2019 (MOE)","# Units in 20 or more unit structures, 2019","# Units in 20 or more unit structures, 2019 (MOE)","% Units in 20 or more unit structures, 2019","% Units in 20 or more unit structures, 2019 (MOE)","# Units in mobile homes, 2019","# Units in mobile homes, 2019 (MOE)","% Units in mobile homes, 2019","% Units in mobile homes, 2019 (MOE)","# Units in boats or RVs, 2019","# Units in boats or RVs, 2019 (MOE)","% Units in boats or RVs, 2019","% Units in boats or RVs, 2019 (MOE)","# Units built 2014 or later, 2019","# Units built 2014 or later, 2019 (MOE)","% Units built 2014 or later, 2019","% Units built 2014 or later, 2019 (MOE)","# Units built 2010 to 2013, 2019","# Units built 2010 to 2013, 2019 (MOE)","% Units built 2010 to 2013, 2019","% Units built 2010 to 2013, 2019 (MOE)","# Units built 2000 to 2009, 2019","# Units built 2000 to 2009, 2019 (MOE)","% Units built 2000 to 2009, 2019","% Units built 2000 to 2009, 2019 (MOE)","# Units built 1990 to 1999, 2019","# Units built 1990 to 1999, 2019 (MOE)","% Units built 1990 to 1999, 2019","% Units built 1990 to 1999, 2019 (MOE)","# Units built 1980 to 1989, 2019","# Units built 1980 to 1989, 2019 (MOE)","% Units built 1980 to 1989, 2019","% Units built 1980 to 1989, 2019 (MOE)","# Units built 1970 to 1979, 2019","# Units built 1970 to 1979, 2019 (MOE)","% Units built 1970 to 1979, 2019","% Units built 1970 to 1979, 2019 (MOE)","# Units built 1960 to 1969, 2019","# Units built 1960 to 1969, 2019 (MOE)","% Units built 1960 to 1969, 2019","% Units built 1960 to 1969, 2019 (MOE)","# Units built 1950 to 1959, 2019","# Units built 1950 to 1959, 2019 (MOE)","% Units built 1950 to 1959, 2019","% Units built 1950 to 1959, 2019 (MOE)","# Units built 1940 to 1949, 2019","# Units built 1940 to 1949, 2019 (MOE)","% Units built 1940 to 1949, 2019","% Units built 1940 to 1949, 2019 (MOE)","# Units built 1939 or earlier, 2019","# Units built 1939 or earlier, 2019 (MOE)","% Units built 1939 or earlier, 2019","% Units built 1939 or earlier, 2019 (MOE)","# Units built 2000 or later, 2019","# Units built 2000 or later, 2019 (MOE)","% Units built 2000 or later, 2019","% Units built 2000 or later, 2019 (MOE)","# Units built 1980 to 1999, 2019","# Units built 1980 to 1999, 2019 (MOE)","% Units built 1980 to 1999, 2019","% Units built 1980 to 1999, 2019 (MOE)","# Units built 1979 or earlier, 2019","# Units built 1979 or earlier, 2019 (MOE)","% Units built 1979 or earlier, 2019","% Units built 1979 or earlier, 2019 (MOE)","# Units heated with utility gas, 2019","# Units heated with utility gas, 2019 (MOE)","% Units heated with utility gas, 2019","% Units heated with utility gas, 2019 (MOE)","# Units heated with bottled, tank, or LP gas, 2019","# Units heated with bottled, tank, or LP gas, 2019 (MOE)","% Units heated with bottled, tank, or LP gas, 2019","% Units heated with bottled, tank, or LP gas, 2019 (MOE)","# Units heated with electricity, 2019","# Units heated with electricity, 2019 (MOE)","% Units heated with electricity, 2019","% Units heated with electricity, 2019 (MOE)","# Units heated with fuel oil, kerosene, etc., 2019","# Units heated with fuel oil, kerosene, etc., 2019 (MOE)","% Units heated with fuel oil, kerosene, etc., 2019","% Units heated with fuel oil, kerosene, etc., 2019 (MOE)","# Units heated with coal or coke, 2019","# Units heated with coal or coke, 2019 (MOE)","% Units heated with coal or coke, 2019","% Units heated with coal or coke, 2019 (MOE)","# Units heated with wood, 2019","# Units heated with wood, 2019 (MOE)","% Units heated with wood, 2019","% Units heated with wood, 2019 (MOE)","# Units heated with solar energy, 2019","# Units heated with solar energy, 2019 (MOE)","% Units heated with solar energy, 2019","% Units heated with solar energy, 2019 (MOE)","# Units heated with other fuel, 2019","# Units heated with other fuel, 2019 (MOE)","% Units heated with other fuel, 2019","% Units heated with other fuel, 2019 (MOE)","# Units no fuel used, 2019","# Units no fuel used, 2019 (MOE)","% Units no fuel used, 2019","% Units no fuel used, 2019 (MOE)","# Occupied units lacking complete plumbing facilities, 2019","# Occupied units lacking complete plumbing facilities, 2019 (MOE)","% Occupied units lacking complete plumbing facilities, 2019","% Occupied units lacking complete plumbing facilities, 2019 (MOE)","# Occupied units lacking complete kitchen facilities, 2019","# Occupied units lacking complete kitchen facilities, 2019 (MOE)","% Occupied units lacking complete kitchen facilities, 2019","% Occupied units lacking complete kitchen facilities, 2019 (MOE)","# Occupied units with no telephone service available, 2019","# Occupied units with no telephone service available, 2019 (MOE)","% Occupied units with no telephone service available, 2019","% Occupied units with no telephone service available, 2019 (MOE)","# 1.0 or fewer occupants per room, 2019","# 1.0 or fewer occupants per room, 2019 (MOE)","% 1.0 or fewer occupants per room, 2019","% 1.0 or fewer occupants per room, 2019 (MOE)","# 1.01 to 1.50 occupants per room, 2019","# 1.01 to 1.50 occupants per room, 2019 (MOE)","% 1.01 to 1.50 occupants per room, 2019","% 1.01 to 1.50 occupants per room, 2019 (MOE)","# 1.51 or more occupants per room, 2019","# 1.51 or more occupants per room, 2019 (MOE)","% 1.51 or more occupants per room, 2019","% 1.51 or more occupants per room, 2019 (MOE)",Shape__Area,Shape__Length
1,Northwest Georgia,No,1375300,891,City,"Tallapoosa city, Georgia",1472,204,1368,145,92.9,16.2,104,114,7.1,7.7,6.4,10.3,0,2.4,994,163,67.5,5.9,71,94,4.8,6.4,130,106,8.8,7.1,110,98,7.5,6.6,0,13,0,0.9,0,13,0,0.9,17,30,1.2,2,150,117,10.2,7.8,0,13,0,0.9,0,13,0,0.9,22,36,1.5,2.4,113,94,7.7,6.3,157,133,10.7,8.9,188,105,12.8,6.9,306,127,20.8,8.1,305,141,20.7,9.1,163,97,11.1,6.4,46,43,3.1,2.9,172,140,11.7,9.4,135,101,9.2,6.8,345,169,23.4,11,992,259,67.4,14.9,495,167,36.2,11.6,48,47,3.5,3.4,812,201,59.4,13.3,0,13,0,1,0,13,0,1,13,22,1,1.6,0,13,0,1,0,13,0,1,0,13,0,1,0,13,0,1,0,13,0,1,28,47,2,3.4,1343,282,98.2,17.8,25,41,1.8,3,0,26,0,1.9,280349756.975342,236789.55879262
2,Southern Georgia,No,1339216,662,City,"Hoboken city, Georgia",208,67,188,67,90.4,13.8,20,14,9.6,6,0,9.1,0,27.1,150,57,72.1,14.5,0,13,0,6.3,0,13,0,6.3,0,13,0,6.3,0,13,0,6.3,0,13,0,6.3,0,18,0,8.8,58,30,27.9,11.3,0,13,0,6.3,0,13,0,6.3,0,13,0,6.3,71,37,34.1,14,30,18,14.4,7.3,32,21,15.4,8.8,20,16,9.6,7,12,11,5.8,5,18,19,8.7,8.7,6,7,2.9,3.2,19,32,9.1,15.1,71,41,34.1,16.5,62,28,29.8,9.2,75,43,36.1,16.8,8,12,4.3,6.2,4,5,2.1,2.5,173,69,92,16.5,0,13,0,6.9,0,13,0,6.9,0,13,0,6.9,0,13,0,6.9,0,13,0,6.9,3,5,1.6,2.6,0,13,0,6.9,0,13,0,6.9,0,18,0,9.8,185,63,98.4,48.7,3,14,1.6,7.6,0,26,0,13.8,96103733.7670898,42658.2263435302
3,Southern Georgia,No,1354124,763,City,"Nahunta city, Georgia",420,105,332,89,79,7.6,88,48,21,10.2,0,7.3,12.1,17,197,66,46.9,10.5,3,5,0.7,1.2,35,39,8.3,9,7,8,1.7,1.9,12,17,2.9,4,14,18,3.3,4.2,9,21,2.1,4.9,143,65,34,12.9,0,13,0,3.1,2,4,0.5,0.9,0,13,0,3.1,46,32,11,7.1,122,66,29,13.9,68,40,16.2,8.6,79,47,18.8,10.2,66,42,15.7,9.2,9,12,2.1,2.8,25,30,6,7,3,7,0.7,1.7,48,35,11.4,7.8,190,77,45.2,14.5,182,71,43.3,13,0,13,0,3.9,2,4,0.6,1.2,330,89,99.4,2.9,0,13,0,3.9,0,13,0,3.9,0,13,0,3.9,0,13,0,3.9,0,13,0,3.9,0,13,0,3.9,0,13,0,3.9,6,10,1.8,3,0,18,0,5.5,330,97,99.4,12.1,2,14,0.6,4.2,0,26,0,7.8,79055770.8251953,42801.9982815173
4,Northwest Georgia,No,1378996,921,City,"Varnell city, Georgia",881,133,814,125,92.4,2.6,67,66,7.6,7.4,6.9,8.8,0,7.9,713,126,80.9,7.4,3,5,0.3,0.6,40,34,4.5,3.8,9,14,1,1.6,0,13,0,1.5,0,13,0,1.5,0,18,0,2.1,116,70,13.2,7.7,0,13,0,1.5,7,9,0.8,1,67,47,7.6,5.2,230,82,26.1,8.4,228,101,25.9,10.8,213,76,24.2,7.8,103,39,11.7,4.1,13,11,1.5,1.2,14,19,1.6,2.1,0,13,0,1.5,6,8,0.7,0.9,304,95,34.5,9.4,441,126,50.1,12.2,136,47,15.4,4.8,20,17,2.5,2.1,32,20,3.9,2.4,748,122,91.9,5.1,6,7,0.7,0.9,0,13,0,1.6,0,13,0,1.6,0,13,0,1.6,5,8,0.6,1,3,5,0.4,0.6,0,13,0,1.6,0,13,0,1.6,6,8,0.7,1,787,146,96.7,10,27,32,3.3,3.9,0,26,0,3.2,106234783.860107,354599.84901714
5,Southern Georgia,No,1353032,756,City,"Morven city, Georgia",255,95,228,92,89.4,13.9,27,23,10.6,8.1,4.3,6.9,0,13.7,85,50,33.3,15.2,0,13,0,5.1,0,13,0,5.1,8,14,3.1,5.4,0,13,0,5.1,0,13,0,5.1,0,18,0,7.2,162,82,63.5,21.8,0,13,0,5.1,0,13,0,5.1,0,13,0,5.1,11,8,4.3,2.7,124,71,48.6,21.1,47,35,18.4,11.9,17,18,6.7,6.6,22,21,8.6,7.6,20,22,7.8,8.1,8,13,3.1,5,6,7,2.4,2.6,11,20,4.3,7.7,171,79,67.1,18.4,73,38,28.6,10.6,6,13,2.6,5.6,18,22,7.9,9.1,204,87,89.5,12.4,0,13,0,5.7,0,13,0,5.7,0,13,0,5.7,0,13,0,5.7,0,13,0,5.7,0,13,0,5.7,0,13,0,5.7,5,10,2.2,4.3,0,18,0,8.1,225,83,98.7,53.9,3,14,1.3,6.1,0,26,0,11.4,48529591.171875,24749.5037209598
6,Southern Georgia,No,1363224,814,City,"Quitman city, Georgia",1955,198,1476,186,75.5,5.7,479,118,24.5,5.5,2.9,4.4,11.9,8.4,1478,195,75.6,6.4,22,33,1.1,1.7,110,81,5.6,4.1,182,84,9.3,4.2,51,42,2.6,2.1,21,23,1.1,1.2,12,16,0.6,0.8,79,66,4,3.4,0,13,0,0.7,0,13,0,0.7,0,13,0,0.7,98,66,5,3.3,208,103,10.6,5.2,232,96,11.9,4.8,458,170,23.4,8.4,244,105,12.5,5.2,318,110,16.3,5.4,134,92,6.9,4.7,263,121,13.5,6,98,69,5,3.5,440,141,22.5,6.8,1417,274,72.5,11.9,171,79,11.6,5.1,54,44,3.7,2.9,1242,184,84.1,6.6,0,13,0,0.9,0,13,0,0.9,0,13,0,0.9,0,13,0,0.9,0,13,0,0.9,9,15,0.6,1,0,13,0,0.9,0,13,0,0.9,73,52,4.9,3.4,1451,219,98.3,8.2,0,18,0,1.2,25,35,1.7,2.4,115621334.966003,85192.4484932982
7,Northeast Georgia,No,1303440,450,City,"Athens-Clarke County unified government (balance), Georgia",52344,286,48300,520,92.3,0.9,4044,456,7.7,0.9,1.8,0.8,3.7,0.8,24206,598,46.2,1.1,3736,452,7.1,0.9,3551,453,6.8,0.9,3748,362,7.2,0.7,4514,511,8.6,1,4598,473,8.8,0.9,5474,476,10.5,0.9,2474,299,4.7,0.6,43,46,0.1,0.1,887,197,1.7,0.4,1119,215,2.1,0.4,9252,707,17.7,1.3,10634,643,20.3,1.2,8140,573,15.6,1.1,8660,610,16.5,1.2,6381,556,12.2,1.1,3479,352,6.6,0.7,1267,221,2.4,0.4,2525,361,4.8,0.7,11258,765,21.5,1.5,18774,861,35.9,1.6,22312,992,42.6,1.9,13896,570,28.8,1.1,665,187,1.4,0.4,33227,758,68.8,1.4,15,19,0,0,16,27,0,0.1,226,111,0.5,0.2,9,13,0,0,42,43,0.1,0.1,204,89,0.4,0.2,142,83,0.3,0.2,280,91,0.6,0.2,1243,269,2.6,0.6,47251,1290,97.8,2.5,841,233,1.7,0.5,208,84,0.4,0.2,3292276534.46606,309508.19359444
8,Central Savannah River Area,No,1368740,849,City,"Sardis city, Georgia",429,90,328,89,76.5,13.2,101,43,23.5,8.7,8.1,8.8,6.9,10.5,258,58,60.1,4.9,8,12,1.9,2.8,32,35,7.5,8,28,25,6.5,5.7,0,13,0,3,3,6,0.7,1.4,0,18,0,4.3,100,47,23.3,9.8,0,13,0,3,0,13,0,3,8,14,1.9,3.2,32,25,7.5,5.6,29,23,6.8,5.2,41,32,9.6,7.2,67,35,15.6,7.5,67,37,15.6,8,91,53,21.2,11.5,17,18,4,4.1,77,39,17.9,8.3,40,31,9.3,7.1,70,39,16.3,8.5,319,85,74.4,12.3,20,19,6.1,5.6,67,47,20.4,13.2,241,73,73.5,9.9,0,13,0,4,0,13,0,4,0,13,0,4,0,13,0,4,0,13,0,4,0,13,0,4,0,13,0,4,0,13,0,4,16,26,4.9,7.9,314,82,95.7,36,0,18,0,5.6,14,34,4.3,10.4,43587874.6320801,37772.4985297639
9,Middle Georgia,No,1351492,742,City,"Milledgeville city, Georgia",7445,526,5895,460,79.2,2.6,1550,271,20.8,3.3,0.7,0.8,6.6,3.9,3504,344,47.1,3.2,180,98,2.4,1.3,1041,238,14,3,590,184,7.9,2.4,935,267,12.6,3.5,493,193,6.6,2.5,463,185,6.2,2.4,239,117,3.2,1.6,0,21,0,0.3,188,133,2.5,1.8,325,156,4.4,2.1,1584,283,21.3,3.5,768,201,10.3,2.6,950,223,12.8,2.9,902,216,12.1,2.8,962,223,12.9,2.9,847,191,11.4,2.4,424,162,5.7,2.1,495,180,6.6,2.4,2097,349,28.2,4.3,1718,300,23.1,3.7,3630,438,48.8,4.8,1466,239,24.9,3.6,38,43,0.6,0.7,4325,407,73.4,3.9,0,21,0,0.4,0,21,0,0.4,0,21,0,0.4,0,21,0,0.4,36,41,0.6,0.7,30,35,0.5,0.6,23,37,0.4,0.6,37,50,0.6,0.8,113,79,1.9,1.3,5804,520,98.5,4.3,72,66,1.2,1.1,19,49,0.3,0.8,571543691.681152,452524.731252559
10,Central Savannah River Area,No,1347560,712,City,"Louisville city, Georgia",1123,174,897,156,79.9,6.3,226,94,20.1,7.8,2.8,4.6,6.7,8.7,810,177,72.1,11.1,0,13,0,1.2,188,77,16.7,6.3,23,30,2,2.7,12,11,1.1,1,0,13,0,1.2,0,18,0,1.6,90,56,8,4.8,0,13,0,1.2,0,13,0,1.2,16,26,1.4,2.3,83,42,7.4,3.6,100,71,8.9,6.2,153,71,13.6,6,113,58,10.1,4.9,146,67,13,5.6,187,97,16.7,8.2,100,57,8.9,4.9,225,94,20,7.8,99,51,8.8,4.3,253,100,22.5,8.2,771,171,68.7,10.9,271,99,30.2,9.7,52,43,5.8,4.7,571,129,63.7,9.2,0,13,0,1.4,0,13,0,1.4,3,6,0.3,0.7,0,13,0,1.4,0,13,0,1.4,0,13,0,1.4,0,13,0,1.4,0,13,0,1.4,3,14,0.3,1.6,880,169,98.1,8.1,17,25,1.9,2.8,0,26,0,2.9,102587059.940674,91610.3568863492
