OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2019","# Renter-occupied housing units, 2019 (MOE)","# Gross rent less than $500, 2019","# Gross rent less than $500, 2019 (MOE)","% Gross rent less than $500, 2019","% Gross rent less than $500, 2019 (MOE)","# Gross rent $500 to $999, 2019","# Gross rent $500 to $999, 2019 (MOE)","% Gross rent $500 to $999, 2019","% Gross rent $500 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 to $2,499, 2019","# Gross rent $2,000 to $2,499, 2019 (MOE)","% Gross rent $2,000 to $2,499, 2019","% Gross rent $2,000 to $2,499, 2019 (MOE)","# Gross rent $2,500 to $2,999, 2019","# Gross rent $2,500 to $2,999, 2019 (MOE)","% Gross rent $2,500 to $2,999, 2019","% Gross rent $2,500 to $2,999, 2019 (MOE)","# Gross rent $3,000 or more, 2019","# Gross rent $3,000 or more, 2019 (MOE)","% Gross rent $3,000 or more, 2019","% Gross rent $3,000 or more, 2019 (MOE)","# Gross rent less than $200, 2019","# Gross rent less than $200, 2019 (MOE)","% Gross rent less than $200, 2019","% Gross rent less than $200, 2019 (MOE)","# Gross rent $200 to $499, 2019","# Gross rent $200 to $499, 2019 (MOE)","% Gross rent $200 to $499, 2019","% Gross rent $200 to $499, 2019 (MOE)","# Gross rent $500 to $749, 2019","# Gross rent $500 to $749, 2019 (MOE)","% Gross rent $500 to $749, 2019","% Gross rent $500 to $749, 2019 (MOE)","# Gross rent $750 to $999, 2019","# Gross rent $750 to $999, 2019 (MOE)","% Gross rent $750 to $999, 2019","% Gross rent $750 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 or more, 2019","# Gross rent $2,000 or more, 2019 (MOE)","% Gross rent $2,000 or more, 2019","% Gross rent $2,000 or more, 2019 (MOE)","# Gross rent less than $750, 2019","# Gross rent less than $750, 2019 (MOE)","% Gross rent less than $750, 2019","% Gross rent less than $750, 2019 (MOE)","# Gross rent $1,000 or more, 2019","# Gross rent $1,000 or more, 2019 (MOE)","% Gross rent $1,000 or more, 2019","% Gross rent $1,000 or more, 2019 (MOE)",Shape__Area,Shape__Length
1,Northeast Georgia,Yes,30164,3247,ZCTA,ZCTA5 30164,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,622407.782470703,6212.27755914362
2,Atlanta Regional Commission,Yes,30168,3249,ZCTA,ZCTA5 30168,5301,555,47,87,0.9,1.7,2405,447,47,6.9,2326,487,45.5,7.9,285,138,5.6,2.6,52,67,1,1.3,0,25,0,0.5,0,35,0,0.7,0,43,0,0.8,47,75,0.9,1.5,721,244,14.1,4.5,1684,374,32.9,6.3,2326,487,45.5,7.9,285,138,5.6,2.6,52,80,1,1.6,768,259,15,4.8,2663,510,52.1,8,351708051.207275,134257.610246014
3,Coastal Regional Commission,No,31401,3684,ZCTA,ZCTA5 31401,5357,258,969,162,19.3,3.1,1610,224,32,4.2,1620,210,32.2,3.8,513,105,10.2,2,199,75,4,1.5,102,43,2,0.8,14,30,0.3,0.6,78,46,1.6,0.9,891,155,17.7,3,742,162,14.8,3.1,868,156,17.3,3,1620,210,32.2,3.8,513,105,10.2,2,315,91,6.3,1.8,1711,229,34,4.2,2332,247,46.4,4.3,143848494.804932,78158.63982268
4,Three Rivers,Partial,30170,3250,ZCTA,ZCTA5 30170,156,78,32,56,29.9,48.5,68,53,63.6,27.8,7,16,6.5,14.2,0,13,0,12.1,0,13,0,12.1,0,13,0,12.1,0,18,0,17.2,0,23,0,21,32,51,29.9,43.7,14,12,13.1,6.9,54,52,50.5,35.7,7,16,6.5,14.2,0,13,0,12.1,0,26,0,24.3,46,57,43,45.5,7,24,6.5,22.3,1271518851.92773,259043.9114083
5,Northwest Georgia,Partial,30171,3251,ZCTA,ZCTA5 30171,169,113,13,43,8.5,27.4,67,68,43.8,32.2,59,84,38.6,47.8,14,21,9.2,12.1,0,13,0,8.5,0,13,0,8.5,0,18,0,12,0,23,0,14.7,13,36,8.5,23.1,31,42,20.3,23.7,36,53,23.5,30.7,59,84,38.6,47.8,14,21,9.2,12.1,0,26,0,17,44,60,28.8,33.8,73,88,47.7,46.5,1472817583.44897,351642.306724219
6,Northwest Georgia,No,30173,3252,ZCTA,ZCTA5 30173,823,246,34,63,4.8,8.9,440,154,62.3,11.8,232,149,32.9,18.8,0,19,0,2.7,0,19,0,2.7,0,19,0,2.7,0,27,0,3.8,0,33,0,4.7,34,54,4.8,7.5,307,131,43.5,13.4,133,81,18.8,10,232,149,32.9,18.8,0,19,0,2.7,0,38,0,5.4,341,146,48.3,14.9,232,152,32.9,19.2,945421638.062744,190684.292513512
7,Northwest Georgia,No,30175,3253,ZCTA,ZCTA5 30175,507,153,11,53,2.6,12.4,300,135,70.6,18.5,114,86,26.8,17.7,0,19,0,4.5,0,19,0,4.5,0,19,0,4.5,0,27,0,6.3,0,33,0,7.7,11,41,2.6,9.7,121,90,28.5,18.4,179,101,42.1,18.1,114,86,26.8,17.7,0,19,0,4.5,0,38,0,8.9,132,104,31.1,21.7,114,90,26.8,18.8,2459576401.89526,422001.819113792
8,Southern Georgia,No,31641,3761,ZCTA,ZCTA5 31641,96,76,11,41,16.4,60.1,30,52,44.8,66.8,12,28,17.9,39,14,27,20.9,35.9,0,13,0,19.4,0,13,0,19.4,0,18,0,27.4,0,23,0,33.6,11,35,16.4,49.8,0,29,0,43.4,30,43,44.8,50.9,12,28,17.9,39,14,27,20.9,35.9,0,26,0,38.8,11,51,16.4,74.1,26,41,38.8,51,2371823985.3866,336325.108733998
9,Northwest Georgia,No,30176,3254,ZCTA,ZCTA5 30176,1089,266,291,177,30.7,16.7,486,200,51.2,15.8,126,110,13.3,11,46,54,4.8,5.5,0,19,0,2,0,19,0,2,0,27,0,2.8,0,33,0,3.5,291,174,30.7,16.4,295,148,31.1,13.1,191,135,20.1,13.1,126,110,13.3,11,46,54,4.8,5.5,0,38,0,4,586,231,61.7,17.6,172,124,18.1,12.1,2337628446.12231,325501.828961688
10,Southern Georgia,No,31642,3762,ZCTA,ZCTA5 31642,450,91,155,67,41.6,15.3,198,78,53.1,17.2,20,27,5.4,7.2,0,13,0,3.5,0,13,0,3.5,0,13,0,3.5,0,18,0,4.9,10,24,2.7,6.3,145,62,38.9,14.3,140,68,37.5,16.1,58,38,15.5,9.7,20,27,5.4,7.2,0,13,0,3.5,0,26,0,7,295,95,79.1,18.4,20,33,5.4,8.7,5186496752.56799,546538.536654827
