Name of geographic unit,"# Total housing units, 2019","% Vacant housing units, 2019","Owner vacancy rate, 2019","Renter vacancy rate, 2019","% 1 unit, detached housing units, 2019","% Units built 2014 or later, 2019","% Occupied units lacking complete plumbing facilities, 2019","% Occupied units with no telephone service available, 2019"
"Tallapoosa city, Georgia",1472,7.1,6.4,0.0,67.5,0.0,0.0,2.0
"Hoboken city, Georgia",208,9.6,0.0,0.0,72.1,0.0,0.0,0.0
"Nahunta city, Georgia",420,21.0,0.0,12.1,46.9,0.5,0.0,0.0
"Varnell city, Georgia",881,7.6,6.9,0.0,80.9,0.8,0.0,0.7
"Morven city, Georgia",255,10.6,4.3,0.0,33.3,0.0,0.0,0.0
"Quitman city, Georgia",1955,24.5,2.9,11.9,75.6,0.0,0.0,4.9
"Athens-Clarke County unified government (balance), Georgia",52344,7.7,1.8,3.7,46.2,1.7,0.3,2.6
"Sardis city, Georgia",429,23.5,8.1,6.9,60.1,0.0,0.0,4.9
"Milledgeville city, Georgia",7445,20.8,0.7,6.6,47.1,2.5,0.4,1.9
"Louisville city, Georgia",1123,20.1,2.8,6.7,72.1,0.0,0.0,0.3
"Kennesaw city, Georgia",13530,5.4,0.0,4.9,57.3,2.7,0.9,1.3
"Baldwin city, Georgia",1111,11.4,1.5,10.4,50.4,0.0,0.4,4.2
"Monticello city, Georgia",1441,23.0,4.8,2.6,78.4,0.0,0.6,2.1
"Guyton city, Georgia",743,10.5,1.5,10.0,79.1,10.1,0.5,1.8
"Fort Oglethorpe city, Georgia",4528,11.8,0.6,7.8,52.0,2.8,0.0,1.8
"Cumming city, Georgia",2586,4.1,0.0,1.2,42.5,7.8,0.9,4.2
"Garden City city, Georgia",3587,10.2,7.1,3.2,43.6,0.0,0.0,1.5
"Pembroke city, Georgia",1079,17.8,0.0,15.3,50.1,10.6,0.0,1.6
"Harlem city, Georgia",1357,24.8,9.2,6.7,75.5,6.9,0.0,1.4
"Oconee city, Georgia",153,20.3,0.0,25.0,79.7,2.0,0.0,0.0
"Orchard Hill town, Georgia",103,22.3,11.9,18.2,52.4,0.0,0.0,0.0
"Willacoochee city, Georgia",701,24.5,0.0,2.8,49.6,0.0,3.0,0.8
"Concord city, Georgia",143,13.3,4.7,0.0,93.0,0.0,0.0,3.2
"Meansville city, Georgia",86,31.4,7.0,0.0,89.5,0.0,0.0,5.1
"Molena city, Georgia",181,12.7,0.0,0.0,80.7,0.0,0.0,0.0
"Williamson city, Georgia",250,9.2,0.0,0.0,83.6,4.0,0.0,2.2
"Sky Valley city, Georgia",986,80.3,1.0,28.6,74.2,0.2,0.0,1.0
"Zebulon city, Georgia",498,14.9,2.9,5.5,70.3,0.0,0.0,3.5
"Milton city, Georgia",14015,3.4,1.2,6.8,69.0,8.5,0.2,1.3
"Cohutta city, Georgia",226,13.3,0.0,0.0,93.4,1.3,0.0,6.6
"Jesup city, Georgia",4387,14.4,0.0,8.3,70.5,0.2,0.2,4.7
"Echols County consolidated government, Georgia",1871,16.6,1.9,8.7,39.2,0.3,0.0,3.2
"Acworth city, Georgia",9178,9.2,2.3,8.1,73.4,2.7,0.3,1.2
"Holly Springs city, Georgia",4325,4.2,2.6,0.0,80.3,15.8,0.0,0.0
"Kingsland city, Georgia",6642,7.9,1.3,7.8,60.1,3.8,0.0,0.8
"Rincon town, Georgia",3935,2.7,0.0,1.9,66.5,1.6,0.0,2.8
"Rockmart city, Georgia",1870,16.7,6.3,6.8,73.7,5.7,0.0,5.5
"Madison city, Georgia",1830,11.2,0.0,5.4,80.1,1.8,0.0,0.0
"South Fulton city, Georgia",37480,11.7,2.3,10.0,80.1,2.7,0.2,1.4
"Tunnel Hill city, Georgia",482,0.8,0.0,0.0,88.4,2.3,0.0,1.3
"Barwick city, Georgia",161,21.1,5.1,0.0,65.8,1.9,2.4,14.2
"Centerville city, Georgia",3192,9.4,2.2,9.3,78.9,3.5,0.0,1.9
"Gainesville city, Georgia",15514,14.2,0.8,9.5,45.7,7.9,1.2,4.0
"Wadley city, Georgia",829,21.1,6.3,2.9,61.5,0.7,0.0,4.9
"Hazlehurst city, Georgia",2046,27.0,2.4,4.9,67.3,0.0,0.0,0.0
"Bogart town, Georgia",619,7.3,1.0,0.0,73.7,6.0,0.0,0.7
"Winterville city, Georgia",502,10.6,0.0,0.0,90.8,0.6,0.0,0.0
"Carrollton city, Georgia",9994,9.7,4.1,6.3,50.9,0.5,0.0,1.6
"Roopville town, Georgia",107,9.3,0.0,0.0,86.9,0.0,0.0,1.0
"Tucker city, Georgia",15870,8.8,1.5,8.9,60.5,1.5,0.1,1.3
"Jackson city, Georgia",2157,16.6,8.4,3.6,64.5,0.0,0.4,0.8
"Ila city, Georgia",174,14.9,0.0,0.0,60.3,0.0,0.0,2.0
"Chauncey city, Georgia",172,16.9,0.0,0.0,63.4,0.0,0.7,1.4
"Chester town, Georgia",267,27.3,6.5,7.7,46.8,1.9,0.0,4.6
"Blackshear city, Georgia",1444,6.2,0.0,0.0,76.3,0.8,0.0,0.6
"Rhine town, Georgia",299,22.4,3.4,0.0,61.2,0.0,2.2,12.5
"Keysville city, Georgia",119,26.1,0.0,3.2,32.8,0.0,0.0,0.0
"Midville city, Georgia",188,19.7,0.0,11.3,94.7,0.0,2.0,0.0
"Waynesboro city, Georgia",2294,13.2,2.2,3.6,66.8,1.9,0.9,0.9
"Darien city, Georgia",1233,22.4,0.0,16.9,48.0,3.3,0.0,0.7
"Ambrose city, Georgia",139,19.4,0.0,27.9,54.7,1.4,0.0,8.0
"Broxton city, Georgia",602,17.6,6.8,0.0,53.5,0.5,0.0,3.4
"Sylvania city, Georgia",1309,16.6,6.1,9.6,65.7,0.0,0.0,0.0
"Oliver city, Georgia",154,25.3,0.0,14.3,61.7,0.0,0.0,0.9
"Roberta city, Georgia",421,15.9,0.0,6.3,60.1,0.7,0.6,1.4
"Denton city, Georgia",76,18.4,0.0,0.0,59.2,1.3,0.0,0.0
"Alma city, Georgia",1279,21.4,3.7,6.1,68.3,0.0,0.8,0.8
"Millen city, Georgia",1544,27.9,6.4,25.0,69.8,1.1,0.0,3.3
"Hiawassee city, Georgia",791,44.9,6.9,21.1,54.2,0.0,1.6,1.4
"Waco city, Georgia",217,7.8,0.0,0.0,76.0,0.9,1.0,1.0
"Fayetteville city, Georgia",7118,4.0,0.1,3.3,72.2,4.9,0.1,0.6
"Peachtree City city, Georgia",14240,5.8,1.6,4.7,80.5,2.5,0.2,1.4
"Tyrone town, Georgia",2770,9.5,0.7,0.0,90.4,1.4,0.0,1.6
"Pulaski town, Georgia",113,17.7,0.0,0.0,75.2,0.0,0.0,0.0
"Kite city, Georgia",136,36.8,7.5,14.0,71.3,0.0,0.0,1.2
"Wrightsville city, Georgia",1350,15.0,3.8,6.8,60.3,2.0,0.0,1.9
"Forest Park city, Georgia",7575,12.6,0.8,7.5,65.7,0.0,0.9,2.8
"Riverdale city, Georgia",6124,9.9,2.1,12.2,61.8,0.0,0.1,3.9
"St. Marys city, Georgia",7842,11.2,1.4,11.1,75.0,1.8,0.6,1.6
"Woodbine city, Georgia",605,22.8,7.1,22.1,63.5,0.0,0.0,1.9
"Eastman city, Georgia",2359,18.8,0.0,8.4,63.1,0.0,0.0,3.2
"Sharpsburg town, Georgia",207,3.9,0.0,9.1,82.6,0.0,0.0,3.0
"Webster County unified government, Georgia",1480,23.0,0.0,16.1,51.7,0.3,0.0,4.0
"Blue Ridge city, Georgia",548,13.1,0.0,0.0,65.7,1.5,0.0,1.1
"Baconton city, Georgia",372,9.9,0.0,6.3,61.3,2.2,0.0,0.0
"Morganton city, Georgia",134,29.9,0.0,0.0,70.9,0.7,0.0,0.0
"Thomaston city, Georgia",3802,12.3,5.2,4.8,72.9,0.8,0.4,3.4
"Ball Ground city, Georgia",879,8.5,1.8,0.0,90.9,10.9,0.0,1.5
"Woodstock city, Georgia",13489,4.5,0.0,6.3,63.6,10.2,0.1,0.9
"East Ellijay city, Georgia",252,16.3,0.0,0.0,54.4,0.0,0.0,0.0
"Ellijay city, Georgia",987,14.5,9.4,5.6,56.0,0.0,0.2,0.8
"Metter city, Georgia",1702,14.5,0.0,5.4,50.2,0.0,0.0,2.8
"Claxton city, Georgia",1070,15.1,0.0,5.3,61.7,0.0,0.0,3.5
"Daisy city, Georgia",78,0.0,0.0,0.0,59.0,0.0,0.0,5.1
"Elberton city, Georgia",2381,26.3,8.2,9.2,69.6,0.0,0.0,2.9
"Jersey city, Georgia",41,19.5,0.0,0.0,75.6,0.0,0.0,0.0
"Newton city, Georgia",363,14.0,0.0,3.1,49.9,0.8,0.0,4.8
"Covington city, Georgia",5464,6.8,1.8,3.5,61.6,1.5,0.0,0.5
"Porterdale city, Georgia",820,18.7,8.6,2.3,74.6,0.0,0.0,2.5
"Social Circle city, Georgia",1795,11.0,0.0,10.3,91.6,0.7,0.0,0.0
"Andersonville city, Georgia",114,18.4,0.0,7.0,42.1,0.0,0.0,2.2
"De Soto city, Georgia",69,34.8,0.0,0.0,71.0,5.8,0.0,0.0
"Leslie city, Georgia",257,28.4,3.2,29.0,59.5,1.6,0.0,1.6
"Plains city, Georgia",295,29.5,0.0,21.5,69.2,0.0,0.0,6.3
"Jeffersonville city, Georgia",577,35.0,0.0,6.3,80.9,0.0,0.0,0.0
"Richmond Hill city, Georgia",4562,5.0,3.2,2.4,76.3,12.5,0.0,1.2
"Byron city, Georgia",2292,4.1,0.0,11.2,73.2,4.9,0.0,6.7
"Between town, Georgia",115,10.4,6.4,0.0,97.4,7.8,0.0,0.0
"Good Hope city, Georgia",232,12.9,2.6,0.0,98.3,5.6,0.0,0.0
"Walnut Grove city, Georgia",568,9.3,3.0,16.6,77.1,0.0,0.0,0.0
"Hagan city, Georgia",516,9.9,0.0,4.4,68.6,0.0,0.0,4.9
"Lavonia city, Georgia",1189,13.5,0.0,1.1,61.0,0.5,0.0,4.9
"East Point city, Georgia",17627,19.4,4.0,10.8,54.6,1.3,0.6,1.4
"Sandy Springs city, Georgia",51700,8.9,3.0,8.2,33.0,4.1,0.4,2.6
"Mansfield city, Georgia",166,9.6,0.9,0.0,97.0,0.0,0.0,1.3
"Newborn town, Georgia",287,11.8,0.0,0.0,75.6,0.3,0.0,0.0
"Oxford city, Georgia",751,9.2,0.0,2.0,87.0,1.6,0.6,0.0
"Griffin city, Georgia",10317,13.3,2.8,7.4,70.5,1.6,0.1,1.9
"Cordele city, Georgia",4791,19.1,5.4,10.6,52.6,1.8,1.0,5.3
