Geographic ID for geographic unit,"# Renter-occupied housing units, 2019","% Gross rent $1,000 or more, 2019","% Gross rent $2,000 or more, 2019","% Gross rent $3,000 or more, 2019"
30164,0,,,
30168,5301,52.1,1.0,0.0
31401,5357,46.4,6.3,0.3
30170,156,6.5,0.0,0.0
30171,169,47.7,0.0,0.0
30173,823,32.9,0.0,0.0
30175,507,26.8,0.0,0.0
31641,96,38.8,0.0,0.0
30176,1089,18.1,0.0,0.0
31642,450,5.4,0.0,0.0
30177,80,0.0,0.0,0.0
31643,1025,10.4,0.0,0.0
30178,184,11.2,0.0,0.0
31645,792,18.5,0.0,0.0
30179,1144,26.0,0.0,0.0
31647,525,6.8,3.0,0.0
30180,3793,62.3,0.3,0.0
31648,140,0.0,0.0,0.0
30182,279,2.9,0.0,0.0
31649,67,0.0,0.0,0.0
30183,332,80.1,1.0,0.0
31650,342,1.3,0.0,0.0
30184,468,42.1,0.0,0.0
31698,0,,,
30185,331,46.9,0.0,0.0
31699,0,,,
30187,371,59.5,3.2,0.0
31701,4734,15.2,0.2,0.0
30188,5596,77.2,6.9,1.5
31705,5967,11.9,0.2,0.0
30189,2969,91.3,4.0,0.0
31707,5989,18.9,1.1,0.0
30204,1513,13.9,0.0,0.0
31709,3166,13.8,0.0,0.0
30205,106,34.2,0.0,0.0
31711,100,7.5,0.0,0.0
30206,89,47.5,0.0,0.0
31712,147,5.7,0.0,0.0
30213,5197,69.2,5.1,0.0
31714,688,7.5,0.0,0.0
30214,1981,78.7,1.8,0.0
31716,181,7.2,0.0,0.0
30215,1505,57.6,13.6,1.9
31719,1416,15.1,0.0,0.0
30216,290,30.2,0.0,0.0
31720,36,10.0,0.0,0.0
30217,1123,14.7,0.0,0.0
31721,2197,38.5,4.8,0.0
30218,23,25.0,0.0,0.0
31722,47,0.0,0.0,0.0
30220,551,56.4,0.0,0.0
30222,672,1.6,0.0,0.0
31784,79,0.0,0.0,0.0
30223,5385,31.8,0.0,0.0
31787,199,23.0,0.0,0.0
31788,1038,11.1,0.0,0.0
31789,128,0.0,0.0,0.0
31790,246,11.4,0.0,0.0
31791,1793,8.8,0.8,0.0
31792,4518,34.3,0.5,0.0
31793,774,26.6,5.8,5.8
31794,4950,12.9,0.0,0.0
31795,153,22.4,0.0,0.0
31796,149,26.4,0.0,0.0
31798,73,,,
31801,147,4.0,0.0,0.0
31803,566,4.7,0.0,0.0
31804,139,71.0,0.0,0.0
31805,448,0.0,0.0,0.0
31806,531,7.8,0.0,0.0
31807,141,11.3,0.0,0.0
31820,560,74.9,0.0,0.0
31821,0,,,
31822,552,35.9,2.6,0.0
31823,18,0.0,0.0,0.0
31824,121,0.0,0.0,0.0
31825,248,23.1,0.0,0.0
31826,268,5.7,0.0,0.0
31827,251,17.4,1.4,1.4
31829,14,100.0,0.0,0.0
31830,301,17.4,0.0,0.0
31831,135,18.0,0.0,0.0
31832,18,0.0,0.0,0.0
31833,879,17.1,0.0,0.0
31836,70,8.7,0.0,0.0
31901,2214,24.2,1.7,0.2
31011,60,9.5,0.0,0.0
31012,116,6.0,0.0,0.0
31014,1144,1.4,0.0,0.0
31015,3754,9.4,0.6,0.0
31016,120,8.8,0.0,0.0
31017,150,0.0,0.0,0.0
31018,92,25.9,0.0,0.0
31019,190,13.9,0.0,0.0
31020,175,23.6,0.0,0.0
31021,4176,15.3,0.5,0.0
31022,161,11.7,5.1,0.0
31023,2008,9.9,0.0,0.0
31024,1965,25.3,0.0,0.0
31025,0,,,
31027,1197,5.2,0.0,0.0
31028,556,56.3,2.3,0.0
31029,1349,14.7,2.9,0.0
31030,2429,6.7,1.2,0.0
31031,587,2.6,0.0,0.0
31032,1235,17.6,3.0,1.9
30411,448,0.0,0.0,0.0
31033,101,8.9,0.0,0.0
30412,1,,,
31035,79,10.9,0.0,0.0
30413,155,0.0,0.0,0.0
31036,1435,19.0,0.0,0.0
30415,710,15.6,2.4,0.0
