Place Name,Median Home Value,Median Rent,Median Household Income,Total Population,Educational Attainment (Total),Labor Force Participation,Total Housing Units,Occupied Units,Vacant Units,Owner-Occupied Units,state,place,Year
"Demorest city, Georgia",124700.0,774.0,43750.0,1867.0,921.0,62.0,646.0,513.0,133.0,355.0,13,22304,2012
"Andersonville city, Georgia",101000.0,700.0,42875.0,250.0,188.0,12.0,140.0,100.0,40.0,62.0,13,02256,2012
"Butler city, Georgia",47000.0,522.0,28790.0,1605.0,1172.0,52.0,913.0,720.0,193.0,434.0,13,12120,2012
"White city, Georgia",104900.0,914.0,37578.0,909.0,506.0,55.0,304.0,282.0,22.0,158.0,13,82468,2012
"Crawfordville city, Georgia",66400.0,524.0,20694.0,513.0,363.0,27.0,356.0,239.0,117.0,126.0,13,20316,2012
"Manassas city, Georgia",200000.0,625.0,75417.0,181.0,115.0,0.0,96.0,59.0,37.0,46.0,13,49504,2012
"Rossville city, Georgia",93500.0,553.0,24562.0,4074.0,2995.0,529.0,2062.0,1771.0,291.0,791.0,13,67256,2012
"Sumner town, Georgia",69800.0,775.0,29583.0,516.0,345.0,30.0,185.0,171.0,14.0,137.0,13,74432,2012
"Abbeville city, Georgia",44000.0,398.0,23750.0,2864.0,2372.0,48.0,502.0,360.0,142.0,226.0,13,00184,2012
"Pineview town, Georgia",55000.0,667.0,19028.0,624.0,326.0,40.0,239.0,171.0,68.0,130.0,13,61320,2012
"Lakeview Estates CDP, Georgia",23100.0,788.0,25313.0,2790.0,1368.0,124.0,617.0,503.0,114.0,272.0,13,44956,2012
"Fairburn city, Georgia",143700.0,952.0,50855.0,12831.0,7916.0,866.0,5195.0,4388.0,807.0,2677.0,13,28380,2012
"Hamilton city, Georgia",208300.0,962.0,48452.0,1068.0,613.0,29.0,329.0,266.0,63.0,147.0,13,36220,2012
"Waverly Hall town, Georgia",101600.0,808.0,39432.0,1129.0,743.0,91.0,468.0,367.0,101.0,284.0,13,80844,2012
"Ellaville city, Georgia",87000.0,481.0,25185.0,1890.0,1119.0,86.0,860.0,712.0,148.0,409.0,13,26980,2012
"Plains city, Georgia",78200.0,675.0,28661.0,565.0,428.0,13.0,207.0,191.0,16.0,95.0,13,61628,2012
"Manchester city, Georgia",79000.0,680.0,34145.0,4191.0,2624.0,371.0,1872.0,1483.0,389.0,893.0,13,49532,2012
"Moreland town, Georgia",121200.0,856.0,53393.0,340.0,210.0,18.0,122.0,115.0,7.0,96.0,13,52668,2012
"Avalon town, Georgia",52900.0,624.0,26500.0,309.0,262.0,19.0,134.0,116.0,18.0,64.0,13,04392,2012
"Soperton city, Georgia",65400.0,502.0,24744.0,3137.0,1853.0,81.0,1105.0,865.0,240.0,510.0,13,71772,2012
"Sycamore city, Georgia",62400.0,696.0,36429.0,708.0,596.0,42.0,243.0,206.0,37.0,126.0,13,75104,2012
"Conley CDP, Georgia",81700.0,815.0,33504.0,5989.0,3730.0,649.0,2339.0,1885.0,454.0,1203.0,13,19280,2012
"Oakwood city, Georgia",105100.0,863.0,34491.0,4022.0,2087.0,178.0,1960.0,1606.0,354.0,476.0,13,57260,2012
"Waco city, Georgia",68100.0,888.0,29808.0,484.0,296.0,61.0,207.0,196.0,11.0,123.0,13,79808,2012
"Sunny Side city, Georgia",211500.0,586.0,41406.0,112.0,82.0,2.0,47.0,47.0,0.0,32.0,13,74572,2012
"Cartersville city, Georgia",151500.0,808.0,45280.0,19714.0,13011.0,922.0,8560.0,7078.0,1482.0,3641.0,13,13688,2012
"Emerson city, Georgia",148200.0,731.0,59125.0,1574.0,1143.0,64.0,645.0,559.0,86.0,417.0,13,27344,2012
"Taylorsville town, Georgia",128700.0,796.0,51364.0,282.0,195.0,15.0,112.0,106.0,6.0,93.0,13,75664,2012
"Norcross city, Georgia",148700.0,882.0,42788.0,12869.0,7900.0,888.0,4653.0,3991.0,662.0,2089.0,13,55776,2012
"Nicholls city, Georgia",54700.0,450.0,24438.0,3046.0,2248.0,54.0,442.0,378.0,64.0,254.0,13,55440,2012
"Dearing town, Georgia",102700.0,729.0,32727.0,617.0,321.0,41.0,231.0,206.0,25.0,135.0,13,22024,2012
"Ideal city, Georgia",58800.0,418.0,26607.0,522.0,363.0,32.0,205.0,163.0,42.0,123.0,13,40812,2012
"Jasper city, Georgia",139400.0,756.0,34228.0,3666.0,2294.0,191.0,1670.0,1452.0,218.0,614.0,13,41932,2012
"Fort Gaines city, Georgia",77400.0,376.0,16726.0,1316.0,803.0,113.0,738.0,505.0,233.0,251.0,13,30816,2012
"Gillsville city, Georgia",97500.0,675.0,38125.0,197.0,140.0,10.0,96.0,73.0,23.0,64.0,13,32860,2012
"Lyerly town, Georgia",74700.0,642.0,37656.0,499.0,358.0,8.0,225.0,193.0,32.0,154.0,13,48092,2012
"Trion town, Georgia",75200.0,628.0,33850.0,2442.0,1411.0,128.0,1024.0,887.0,137.0,450.0,13,77540,2012
"Robins AFB CDP, Georgia",-666666666.0,1214.0,55000.0,1169.0,396.0,25.0,242.0,214.0,28.0,0.0,13,65968,2012
"Register town, Georgia",106300.0,606.0,31364.0,145.0,121.0,16.0,74.0,74.0,0.0,54.0,13,64372,2012
"Statesboro city, Georgia",123900.0,645.0,20751.0,28527.0,10305.0,1165.0,11564.0,9850.0,1714.0,2433.0,13,73256,2012
"Scotland city, Georgia",36800.0,781.0,33750.0,285.0,200.0,0.0,164.0,122.0,42.0,91.0,13,69336,2012
"Lakeview CDP, Georgia",94500.0,763.0,36153.0,5456.0,3635.0,319.0,2201.0,2027.0,174.0,1520.0,13,44900,2012
"Temple city, Georgia",109900.0,656.0,38125.0,4182.0,2599.0,283.0,1695.0,1540.0,155.0,1140.0,13,75832,2012
"Fargo city, Georgia",74200.0,525.0,24063.0,352.0,242.0,10.0,182.0,133.0,49.0,106.0,13,28744,2012
"Springfield city, Georgia",121300.0,767.0,44031.0,2829.0,1872.0,88.0,1041.0,965.0,76.0,626.0,13,72780,2012
"Canton city, Georgia",170900.0,839.0,47891.0,22680.0,14354.0,1143.0,9439.0,8150.0,1289.0,4776.0,13,12988,2012
"Suwanee city, Georgia",246100.0,1160.0,85401.0,15442.0,10094.0,605.0,5672.0,5171.0,501.0,3746.0,13,74936,2012
"Hogansville city, Georgia",94200.0,650.0,27424.0,3056.0,1952.0,189.0,1412.0,1060.0,352.0,683.0,13,39244,2012
"Ashburn city, Georgia",82700.0,516.0,20781.0,4102.0,2484.0,290.0,1861.0,1523.0,338.0,701.0,13,03236,2012
"Lilburn city, Georgia",171100.0,875.0,55545.0,11909.0,7726.0,609.0,4294.0,3857.0,437.0,2681.0,13,46356,2012
"Mountain Park CDP, Georgia",183900.0,1087.0,73972.0,12946.0,9168.0,687.0,4743.0,4491.0,252.0,3763.0,13,53186,2012
"Pearson city, Georgia",58900.0,367.0,26176.0,2284.0,1300.0,140.0,936.0,706.0,230.0,322.0,13,59808,2012
"Auburn city, Georgia",115500.0,841.0,48152.0,7256.0,4605.0,311.0,2948.0,2636.0,312.0,2051.0,13,04140,2012
"Winder city, Georgia",130800.0,864.0,42948.0,14123.0,8678.0,951.0,5485.0,4821.0,664.0,2855.0,13,83420,2012
"Fitzgerald city, Georgia",81300.0,602.0,25160.0,9070.0,5349.0,611.0,3794.0,3086.0,708.0,1395.0,13,29528,2012
"Bowdon city, Georgia",95200.0,588.0,26705.0,2645.0,1464.0,128.0,1049.0,935.0,114.0,428.0,13,09544,2012
"Savannah city, Georgia",148600.0,872.0,34888.0,137690.0,84551.0,6761.0,62289.0,51770.0,10519.0,24157.0,13,69000,2012
"Haralson town, Georgia",155000.0,932.0,55417.0,179.0,107.0,5.0,68.0,61.0,7.0,46.0,13,36528,2012
"Ochlocknee town, Georgia",70500.0,777.0,30048.0,843.0,572.0,38.0,354.0,319.0,35.0,180.0,13,57372,2012
"Ty Ty city, Georgia",59400.0,623.0,27321.0,925.0,503.0,43.0,320.0,273.0,47.0,200.0,13,78100,2012
