Place Name,FIPS Code,County
00184,Abbeville city,Wilcox County
00408,Acworth city,Cobb County
00436,Adairsville city,Bartow County
00576,Adel city,Cook County
00660,Adrian city,"Emanuel County, Johnson County"
00828,Ailey city,Montgomery County
00996,Alamo town,Wheeler County
01024,Alapaha town,Berrien County
01052,Albany city,Dougherty County
01248,Aldora town,Lamar County
01472,Allenhurst city,Liberty County
01500,Allentown city,"Bleckley County, Laurens County, Twiggs County, Wilkinson County"
01612,Alma city,Bacon County
01696,Alpharetta city,Fulton County
01808,Alston town,Montgomery County
01948,Alto town,"Banks County, Habersham County"
02060,Ambrose city,Coffee County
02116,Americus city,Sumter County
02256,Andersonville city,Sumter County
02564,Arabi town,Crisp County
02592,Aragon city,Polk County
02648,Arcade city,Jackson County
02844,Argyle town,Clinch County
02928,Arlington city,"Calhoun County, Early County"
03124,Arnoldsville city,Oglethorpe County
03236,Ashburn city,Turner County
03440,Athens-Clarke County unified government (balance),Clarke County
04000,Atlanta city,"DeKalb County, Fulton County"
04084,Attapulgus city,Decatur County
04140,Auburn city,"Barrow County, Gwinnett County"
04204,Augusta-Richmond County consolidated government (balance),Richmond County
04252,Austell city,"Cobb County, Douglas County"
04392,Avalon town,Stephens County
04448,Avera city,Jefferson County
04644,Avondale Estates city,DeKalb County
04840,Baconton city,Mitchell County
04896,Bainbridge city,Decatur County
04980,Baldwin city,"Banks County, Habersham County"
05036,Ball Ground city,Cherokee County
05344,Barnesville city,Lamar County
05680,Bartow town,Jefferson County
05708,Barwick city,"Brooks County, Thomas County"
06016,Baxley city,Appling County
06688,Bellville city,Evans County
06884,Belvedere Park CDP,DeKalb County
07248,Berkeley Lake city,Gwinnett County
07304,Berlin city,Colquitt County
07612,Bethlehem town,Barrow County
07640,Between town,Walton County
08200,Bishop town,Oconee County
08284,Blackshear city,Pierce County
08480,Blairsville city,Union County
08536,Blakely city,Early County
08844,Bloomingdale city,Chatham County
08928,Blue Ridge city,Fannin County
08956,Bluffton town,Clay County
09040,Blythe city,"Burke County, Richmond County"
09068,Bogart town,"Clarke County, Oconee County"
09272,Bonanza CDP,Clayton County
09460,Boston city,Thomas County
09488,Bostwick city,Morgan County
09544,Bowdon city,Carroll County
09656,Bowersville town,Hart County
09712,Bowman city,Elbert County
09852,Boykin CDP,Miller County
10076,Braselton town,"Barrow County, Gwinnett County, Hall County, Jackson County"
10104,Braswell town,"Paulding County, Polk County"
10132,Bremen city,"Carroll County, Haralson County"
10608,Brinson town,Decatur County
10860,Bronwood town,Terrell County
11000,Brooklet city,Bulloch County
11056,Brooks town,Fayette County
11504,Broxton city,Coffee County
11560,Brunswick city,Glynn County
11616,Buchanan city,Haralson County
11672,Buckhead town,Morgan County
11728,Buena Vista city,Marion County
11784,Buford city,"Gwinnett County, Hall County"
12120,Butler city,Taylor County
12232,Byromville town,Dooly County
12260,Byron city,"Houston County, Peach County"
12344,Cadwell town,Laurens County
12400,Cairo city,Grady County
12456,Calhoun city,Gordon County
12484,Calvary CDP,Grady County
12512,Camak town,Warren County
12624,Camilla city,Mitchell County
12834,Candler-McAfee CDP,DeKalb County
12932,Canon city,"Franklin County, Hart County"
12960,Canoochee CDP,Emanuel County
12988,Canton city,Cherokee County
13184,Carl town,Barrow County
13212,Carlton city,Madison County
13352,Carnesville city,Franklin County
13492,Carrollton city,Carroll County
13688,Cartersville city,Bartow County
14108,Cave Spring city,Floyd County
14192,Cecil city,Cook County
14472,Cedar Springs CDP,Early County
14500,Cedartown city,Polk County
14920,Centerville city,Houston County
15026,Centralhatchee town,Heard County
15172,Chamblee city,DeKalb County
15508,Chatsworth city,Murray County
15552,Chattahoochee Hills city,Fulton County
15585,Chattanooga Valley CDP,Walker County
15648,Chauncey city,Dodge County
15844,Cherry Log CDP,Gilmer County
15900,Chester town,Dodge County
15984,Chickamauga city,Walker County
16460,Clarkesville city,Habersham County
16544,Clarkston city,DeKalb County
16600,Claxton city,Evans County
16656,Clayton city,Rabun County
16796,Clermont town,Hall County
16824,Cleveland city,White County
16908,Climax city,Decatur County
17272,Cobbtown city,Tattnall County
17328,Cochran city,Bleckley County
17496,Cohutta city,Whitfield County
17552,Colbert city,Madison County
17580,Coleman CDP,Randolph County
17776,College Park city,"Clayton County, Fulton County"
17832,Collins city,Tattnall County
18000,Colquitt city,Miller County
19000,Columbus city,Muscogee County
19084,Comer city,Madison County
19112,Commerce city,Jackson County
19168,Concord city,Pike County
19280,Conley CDP,Clayton County
19336,Conyers city,Rockdale County
19392,Coolidge city,Thomas County
19616,Cordele city,Crisp County
19728,Cornelia city,Habersham County
19830,Country Club Estates CDP,Glynn County
20064,Covington city,Newton County
20288,Crawford city,Oglethorpe County
20316,Crawfordville city,Taliaferro County
20550,Crooked Creek CDP,Putnam County
20848,Culloden city,Monroe County
20932,Cumming city,Forsyth County
21017,Cusseta-Chattahoochee County unified government,Chattahoochee County
21072,Cuthbert city,Randolph County
21184,Dacula city,Gwinnett County
21240,Dahlonega city,Lumpkin County
21268,Daisy city,Evans County
21324,Dallas city,Paulding County
21380,Dalton city,Whitfield County
21436,Damascus city,Early County
21632,Danielsville city,Madison County
21688,Danville town,"Twiggs County, Wilkinson County"
21716,Darien city,McIntosh County
21744,Dasher town,Lowndes County
21800,Davisboro city,Washington County
21912,Dawson city,Terrell County
21940,Dawsonville city,Dawson County
22024,Dearing town,McDuffie County
22052,Decatur city,DeKalb County
22080,Deenwood CDP,Ware County
22108,Deepstep town,Washington County
22304,Demorest city,Habersham County
22388,Denton city,Jeff Davis County
22472,De Soto city,Sumter County
22724,Dewy Rose CDP,Elbert County
22752,Dexter town,Laurens County
22976,Dillard city,Rabun County
23200,Dock Junction CDP,Glynn County
23284,Doerun city,Colquitt County
23368,Donalsonville city,Seminole County
23480,Dooling town,Dooly County
23536,Doraville city,DeKalb County
23872,Douglas city,Coffee County
23900,Douglasville city,Douglas County
24264,Druid Hills CDP,DeKalb County
24376,Dublin city,Laurens County
24488,Dudley city,Laurens County
24600,Duluth city,Gwinnett County
24768,Dunwoody city,DeKalb County
24796,Du Pont town,Clinch County
24876,Dutch Island CDP,Chatham County
24964,Eagle Grove CDP,Hart County
25300,East Dublin city,Laurens County
25356,East Ellijay city,Gilmer County
25440,East Griffin CDP,Spalding County
25552,Eastman city,Dodge County
25692,East Newnan CDP,Coweta County
25720,East Point city,Fulton County
26084,Eatonton city,Putnam County
26224,Edge Hill city,Glascock County
26448,Edison city,Calhoun County
26616,Elberton city,Elbert County
26980,Ellaville city,Schley County
27008,Ellenton town,Colquitt County
27092,Ellijay city,Gilmer County
27344,Emerson city,Bartow County
27512,Empire CDP,"Bleckley County, Dodge County"
27596,Enigma town,Berrien County
27708,Ephesus city,Heard County
27736,Epworth CDP,Fannin County
27932,Eton city,Murray County
27988,Euharlee city,Bartow County
28044,Evans CDP,Columbia County
28296,Experiment CDP,Spalding County
28380,Fairburn city,Fulton County
28492,Fairmount city,Gordon County
28520,Fair Oaks CDP,Cobb County
28632,Fairview CDP,Walker County
28744,Fargo city,Clinch County
28968,Fayetteville city,Fayette County
29528,Fitzgerald city,"Ben Hill County, Irwin County"
30088,Flemington city,Liberty County
30312,Flovilla city,Butts County
30340,Flowery Branch city,Hall County
30424,Folkston city,Charlton County
30536,Forest Park city,Clayton County
30732,Forsyth city,Monroe County
30816,Fort Gaines city,Clay County
30956,Fort Oglethorpe city,"Catoosa County, Walker County"
31068,Fort Stewart CDP,Liberty County
31096,Fort Valley city,Peach County
31292,Franklin city,Heard County
31320,Franklin Springs city,Franklin County
31684,Funston city,Colquitt County
31908,Gainesville city,Hall County
32048,Garden City city,Chatham County
32188,Garfield city,Emanuel County
32384,Gay town,Meriwether County
32412,Geneva town,Talbot County
32482,Georgetown CDP,Chatham County
32528,Georgetown-Quitman County unified government,Quitman County
32748,Gibson city,Glascock County
32860,Gillsville city,"Banks County, Hall County"
32916,Girard town,Burke County
33336,Glennville city,Tattnall County
33392,Glenwood city,Wheeler County
33896,Good Hope city,Walton County
33980,Gordon city,Wilkinson County
34260,Graham city,Appling County
34428,Grantville city,Coweta County
34512,Gray city,Jones County
34596,Grayson city,Gwinnett County
34876,Greensboro city,Greene County
35016,Greenville city,Meriwether County
35240,Gresham Park CDP,DeKalb County
35324,Griffin city,Spalding County
35716,Grovetown city,Columbia County
35800,Gumbranch city,Liberty County
35814,Gumlog CDP,Franklin County
35884,Guyton city,Effingham County
36024,Hagan city,Evans County
36052,Hahira city,Lowndes County
36220,Hamilton city,Harris County
36276,Hampton city,Henry County
36416,Hannahs Mill CDP,Upson County
36472,Hapeville city,Fulton County
36528,Haralson town,"Coweta County, Meriwether County"
36668,Hardwick CDP,Baldwin County
36696,Harlem city,Columbia County
36920,Harrison town,Washington County
37144,Hartwell city,Hart County
37396,Hawkinsville city,Pulaski County
37564,Hazlehurst city,Jeff Davis County
37788,Helen city,White County
37816,Helena city,"Telfair County, Wheeler County"
37910,Henderson CDP,Chatham County
38040,Hephzibah city,Richmond County
38105,Heron Bay CDP,"Henry County, Spalding County"
38124,Hiawassee city,Towns County
38348,Higgston town,Montgomery County
38866,Hilltop CDP,Pike County
38920,Hiltonia town,Screven County
38964,Hinesville city,Liberty County
39076,Hiram city,Paulding County
39216,Hoboken city,Brantley County
39244,Hogansville city,Troup County
39524,Holly Springs city,Cherokee County
39692,Homeland city,Charlton County
39720,Homer town,Banks County
39748,Homerville city,Clinch County
40056,Hoschton city,Jackson County
40196,Howard CDP,Taylor County
40532,Hull city,Madison County
40812,Ideal city,Macon County
40840,Ila city,Madison County
41036,Indian Springs CDP,Catoosa County
41344,Iron City town,Seminole County
41347,Irondale CDP,Clayton County
41400,Irwinton city,Wilkinson County
41484,Isle of Hope CDP,Chatham County
41540,Ivey city,Wilkinson County
41596,Jackson city,Butts County
41708,Jacksonville city,Telfair County
41792,Jakin city,Early County
41932,Jasper city,Pickens County
41988,Jefferson city,Jackson County
42100,Jeffersonville city,Twiggs County
42156,Jenkinsburg city,Butts County
42184,Jersey city,Walton County
42268,Jesup city,Wayne County
42425,Johns Creek city,Fulton County
42604,Jonesboro city,Clayton County
42800,Junction City town,Talbot County
43192,Kennesaw city,Cobb County
43360,Keysville city,Burke County
43580,Kings Bay Base CDP,Camden County
43640,Kingsland city,Camden County
43668,Kingston city,Bartow County
43892,Kite city,Johnson County
44060,Knoxville CDP,Crawford County
44312,LaFayette city,Walker County
44340,LaGrange city,Troup County
44508,Lake City city,Clayton County
44592,Lakeland city,Lanier County
44704,Lake Park city,Lowndes County
44900,Lakeview CDP,"Catoosa County, Walker County"
44956,Lakeview Estates CDP,Rockdale County
45460,Lavonia city,"Franklin County, Hart County"
45488,Lawrenceville city,Gwinnett County
45600,Leary city,Calhoun County
45768,Leesburg city,Lee County
45936,Lenox town,Cook County
46020,Leslie city,Sumter County
46188,Lexington city,Oglethorpe County
46356,Lilburn city,Gwinnett County
46384,Lilly city,Dooly County
46524,Lincoln Park CDP,Upson County
46552,Lincolnton city,Lincoln County
46580,Lindale CDP,Floyd County
46832,Lithia Springs CDP,Douglas County
